title,year released,certificate,duration_min,genre ,rating,votes,age
Bleach,2004,TV-14,24,Animation,8.2,486,18
Bleach,2004,TV-14,24,Animation,8.4,559,18
Bleach,2004,TV-14,24,Animation,8.2,"53,769",18
Bleach,2004,TV-14,24,Animation,8,340,18
Bleach,2004,TV-14,23,Animation,7.8,284,18
Bleach,2004,TV-14,24,Animation,7.4,283,18
Bleach,2004,TV-14,24,Animation,8.2,440,18
Bleach,2004,TV-14,24,Animation,7.7,269,18
Bleach,2004,TV-14,24,Animation,7.8,322,18
Bleach,2004,TV-14,24,Animation,8.7,551,18
Kill Bill: Vol. 2,2004,R,137,Action,8,"749,653",18
Bleach,2004,TV-14,24,Animation,8.8,568,18
Bleach,2004,TV-14,24,Animation,8,325,18
Bleach,2004,TV-14,24,Animation,7.8,329,18
Juhong geulshi,2004,Not Rated,115,Drama,6.4,"1,119",18
A Very Long Engagement,2004,R,133,Drama,7.6,"73,958",18
